  432.0730 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.159 45 0.000   -6    6F4 -4 0    1083 1162     0
  432.0732 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.669 45 0.000  -36  -37F2 -1 0    1083 1162     0
  432.0733 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.251 45 0.000  -23  -27F3 -2 0    1083 1162     0
  432.0733 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-0.980 45 0.000   -6  -13F4 -3 0    1083 1162     0
  432.0734 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-0.773 45 0.000   15    6F5 -4 0    1083 1162     0
  432.0734 -0.260 21.01    4883.570  3.0 3d2 3F       28021.290  2.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-0.602 45 0.000   40   29F6 -5 0    1083 1162     0

  432.4984 -0.440 21.01    4802.870  2.0 3d2 3F       27917.780  1.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.711 45 0.000  -29   36F3 -4 0     665  506     0
  432.4986 -0.440 21.01    4802.870  2.0 3d2 3F       27917.780  1.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.271 45 0.000  -63  -10F2 -3 0     665  506     0
  432.4988 -0.440 21.01    4802.870  2.0 3d2 3F       27917.780  1.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.000 45 0.000  -87  -46F1 -2 0     665  506     0
  432.4992 -0.440 21.01    4802.870  2.0 3d2 3F       27917.780  1.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-0.896 45 0.000  -29  -10F3 -3 0     665  506     0
  432.4992 -0.440 21.01    4802.870  2.0 3d2 3F       27917.780  1.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.012 45 0.000   15   36F4 -4 0     665  506     0
  432.4993 -0.440 21.01    4802.870  2.0 3d2 3F       27917.780  1.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.016 45 0.000  -63  -46F2 -2 0     665  506     0
  432.4999 -0.440 21.01    4802.870  2.0 3d2 3F       27917.780  1.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-1.271 45 0.000  -29  -46F3 -2 0     665  506     0
  432.5000 -0.440 21.01    4802.870  2.0 3d2 3F       27917.780  1.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-0.816 45 0.000   15  -10F4 -3 0     665  506     0
  432.5002 -0.440 21.01    4802.870  2.0 3d2 3F       27917.780  1.0 3d4p 3D     8.36 -6.73 -7.89MFW  0 0 45-0.523 45 0.000   68   36F5 -4 0     665  506     0

  564.0989 -1.040 21.01   12101.500  1.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93NBS  0 0 45-0.523 45 0.000  -13   25F4 -5 0    1487 1495     0
  564.0996 -1.040 21.01   12101.500  1.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93NBS  0 0 45-1.012 45 0.000  -13    5F4 -4 0    1487 1495     0
  564.1001 -1.040 21.01   12101.500  1.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93NBS  0 0 45-0.816 45 0.000    4    5F3 -4 0    1487 1495     0
  564.1001 -1.040 21.01   12101.500  1.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93NBS  0 0 45-1.711 45 0.000  -13  -11F4 -3 0    1487 1495     0
  564.1006 -1.040 21.01   12101.500  1.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93NBS  0 0 45-0.896 45 0.000    4  -11F3 -3 0    1487 1495     0
  564.1010 -1.040 21.01   12101.500  1.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93NBS  0 0 45-1.271 45 0.000   16  -11F2 -3 0    1487 1495     0
  564.1010 -1.040 21.01   12101.500  1.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93NBS  0 0 45-1.271 45 0.000    4  -23F3 -2 0    1487 1495     0
  564.1014 -1.040 21.01   12101.500  1.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93NBS  0 0 45-1.016 45 0.000   16  -23F2 -2 0    1487 1495     0
  564.1016 -1.040 21.01   12101.500  1.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93NBS  0 0 45-1.000 45 0.000   16  -32F2 -1 0    1487 1495     0

  565.7886 -0.500 21.01   12154.420  2.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93MFW  0 0 45-0.626 45 0.000   -6   25F5 -5 0    1481 1495     0
  565.7888 -0.500 21.01   12154.420  2.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93MFW  0 0 45-1.196 45 0.000   -2   25F4 -5 0    1481 1495     0
  565.7893 -0.500 21.01   12154.420  2.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93MFW  0 0 45-1.196 45 0.000   -6    5F5 -4 0    1481 1495     0
  565.7894 -0.500 21.01   12154.420  2.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93MFW  0 0 45-1.024 45 0.000   -2    5F4 -4 0    1481 1495     0
  565.7895 -0.500 21.01   12154.420  2.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93MFW  0 0 45-1.038 45 0.000    3    5F3 -4 0    1481 1495     0
  565.7899 -0.500 21.01   12154.420  2.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93MFW  0 0 45-1.038 45 0.000   -2  -11F4 -3 0    1481 1495     0
  565.7901 -0.500 21.01   12154.420  2.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93MFW  0 0 45-1.720 45 0.000    3  -11F3 -3 0    1481 1495     0
  565.7902 -0.500 21.01   12154.420  2.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93MFW  0 0 45-1.049 45 0.000    6  -11F2 -3 0    1481 1495     0
  565.7904 -0.500 21.01   12154.420  2.0 3d2 3P       29823.930  2.0 3d4p 3P     8.17 -6.60 -7.93MFW  0 0 45-1.049 45 0.000    3  -23F3 -2 0    1481 1495     0
